Front,Back,Example
"Wall-to-wall","We say it when something is continuous - when you can see something all the time. We usually use it for things that are on television.","Wall-to-wall news coverage or wall-to-wall sports."
"A game in hand","we use it to describe a team that has played one match fewer than its rivals.","Fulham are third from bottom with two games in hand over the teams below them."
"To come from behind","to turn a losing position into a winning position.","The Reds come from behind to beat Premier League leaders, Newcastle."
"To put a team in front / To give a team the lead","Both these phrases mean the same. They mean a team has gone into a winning position.","David Ginola put Newcastle in front. We also said Robbie Fowler gave Liverpool the lead."
"Hit top spot","It means it has reached the first place.","Premier League podcast has recently hit top spot in the podcast charts"
"To be riding high / To be flying high","Both these phrases mean to be successful.","Leicester City and Sheffield United are riding high in the Premier League table this season."
"Play On","To continue to play a game / to use a situation or emotions such as fear or worry in order to get what you want","We played on in spite of the rain. / She plays on the fact that people feel sorry for her."
"Take it out on","to treat someone badly because you are upset or angry, even if they have done nothing wrong","I know you've had a bad day, but you don't have to take it out on me!"
"Come out","To move into full view","She comes out into the hallway."
"Stick around","to stay somewhere for a period of time.","I'll stick around here a bit longer."
"Walk off","to leave a place because you are angry or unhappy about something.","She threatened to walk off the film set because of the conditions."
"Get through","To manage to deal with a difficult situation or to stay alive until it is over.","The refugees will need help to get through the winter."
"Go through","to suffer","You have no idea what I went through to get this finished in time."
"Back out","to withdraw from a promise etc.","You promised to help – you mustn’t back out now!"
"Break it to (sb)","to tell someone about something unpleasant that will affect or upset them.","Come on, what happened? Break it to me gently."
"Get the picture","to understand.","It's all right, don't say any more - I get the picture."
"Not care/give a fig","to not be at all worried by or interested in something.","They can say what they like. I don't give a fig."
"Think sth over","to consider an idea or plan carefully before making a decision.","I'll think it over and give you an answer next week."
"For the sake of sb/for sb's sake","in order to help or bring advantage to someone.","Please do it, for David's sake."
"Take off","to suddenly leave somewhere, usually without telling anyone that you are going.","When he saw me, he took off in the other direction."
"Carve up (smth)","to divide something into parts.","The new owner carved up the company and sold off several divisions."
"Take the heat off (sb)","If someone or something takes the heat off you, he, she, or it reduces the amount of criticism you have to deal with","The deputy's resignation over the scandal has taken some of the heat off his superior."
"lighten (sth) up","to make a speech or piece of writing less serious","I thought I'd slip in a few jokes to lighten up the talk."
"Narrow (sth) down","to make a number or list of things smaller, by removing the things that are least important, necessary, or suitable","We narrowed the list of candidates down from ten to three."
"Drop in","to come for a visit, esp. without having received an invitation for a specific time","Drop in whenever you’re in the neighborhood."
"Step up","to take action when there is a need or opportunity for it","Investors have to step up and assume more responsibility for their assets."
"Rain check","a ticket that allows you to see an event at a later time if bad weather stops that event from happening","It's awfully late for lunch. Would you mind if I took a rain check on our date?"
"Wage slave","someone who must work so they can earn enough money to live on and pay for the things they need","High mortgage rates have turned the middle classes into wage slaves."
"Give/hand (sth) to (sb) on a plate","to allow someone to get or win something very easily","The Canadian team handed the game to them on a plate."
"Nutmeg (football)","an occasion when a player kicks the ball through an opponent's legs","Roberts added the second goal five minutes into the second half when he nutmegged Evans."
"To take a knee","To take a knee is a phrase that is used to describe the act of kneeling on one knee as an act of protest, especially when most other people are standing.","Many clubs have taken a knee at the start of training sessions to show support for the Black Lives Matter movement."
"To stand up","To stand up for something means to defend something that is being attacked or criticized.","Aston Villa’s Tyrone Mings said he joined the protests because he was standing up for what he believes in."
"To show solidarity","means to show support to another person or group of people.","Chelsea captain Cesar Azpilicueta has shown solidarity by saying that we have to eradicate racism and everybody has to play a part."
"To speak out","To speak out is a phrasal verb and means to talk about something publicly that often takes courage or bravery.","Jadon Sancho said we shouldn’t be afraid to speak out for what is right."
"To speak up","Talk more loudly or plainly","Could you speak up? I can't hear you"
"To speak to","Resonate with, to feel emotionally relevant to","His music really speaks to me"
"To speak for (onself)","Provide an opinion only on one's own behalf","I'm speaking for myself, not for my company"
